name,version,ecosystem,vendor
acl,2.2.53,,
acpid,2.0.30,,
apr,1.6.3,,
apr-util,1.6.1,,
audit,3,,
audit-libs,3,,
basesystem,11,,
bash,4.4.19,,
beecrypt,4.2.1,,
bind,9.11.36,,
bind-export-libs,9.11.36,,
bind-libs,9.11.36,,
bind-libs-lite,9.11.36,,
bind-license,9.11.36,,
bind-utils,9.11.36,,
binutils,2.3,,
bonnie++,1.98,,
brotli,1.0.6,,
busybox-dp,11.2.5.0,,
bzip2,1.0.6,,
bzip2-libs,1.0.6,,
c-ares,1.13.0,,
CADP_for_C,8.14.1.001,,
chicken,3.0.0,,
chkconfig,1.13,,
cjose,0.6.1,,
cjson,1,,
coreutils,8.3,,
coreutils-common,8.3,,
corosync,3.0.3,,
corosynclib,3.0.3,,
cpio,2.12,,
cpp,8.3.1,,
cracklib,2.9.6,,
cracklib-dicts,2.9.6,,
crontabs,1.11,,
crypto-policies,20200713,,
crypto-policies-scripts,20200713,,
